id,target_feature
0,1
1,0
2,1
3,1
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,1
17,0
18,1
19,0
20,1
21,1
22,0
23,1
24,0
25,0
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,0
34,1
35,1
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,1
55,0
56,1
57,0
58,1
59,0
60,1
61,1
62,1
63,0
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,1
94,0
95,0
96,1
97,1
98,1
99,0
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,0
108,1
109,1
110,1
111,1
112,0
113,0
114,1
115,1
116,1
117,0
118,1
119,0
120,0
121,1
122,1
123,0
124,1
125,1
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,1
137,0
138,0
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,1
165,1
166,1
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,0
182,0
183,1
184,1
185,1
186,0
187,1
188,0
189,0
190,1
191,1
192,1
193,0
194,1
195,1
196,0
197,1
198,1
199,1
200,0
201,0
202,0
203,0
204,1
205,1
206,0
207,0
208,0
209,1
210,0
211,1
212,1
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,0
226,1
227,1
228,1
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,1
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,0
265,1
266,1
267,0
268,0
269,1
270,0
271,1
272,1
273,0
274,1
275,1
276,0
277,1
278,1
279,0
280,1
281,1
282,1
283,1
284,0
285,1
286,1
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,1
297,1
298,1
299,1
300,1
301,0
302,0
303,1
304,1
305,0
306,1
307,0
308,0
309,1
310,1
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,1
323,0
324,0
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,1
334,1
335,0
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,0
345,1
346,1
347,0
348,1
349,0
350,0
351,1
352,1
353,1
354,1
355,1
356,1
357,0
358,1
359,0
360,1
361,0
362,1
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,1
374,0
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,0
385,1
386,1
387,0
388,0
389,1
390,1
391,1
392,0
393,1
394,1
395,1
396,1
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,1
415,0
416,1
417,0
418,0
419,1
420,1
421,0
422,1
423,0
424,0
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,0
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,0
442,0
443,0
444,1
445,1
446,0
447,1
448,0
449,1
450,1
451,0
452,1
453,0
454,1
455,1
456,0
457,1
458,0
459,1
460,0
461,0
462,1
463,0
464,1
465,1
466,1
467,0
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,1
476,1
477,0
478,1
479,1
480,0
481,1
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,0
492,0
493,1
494,0
495,1
496,1
497,1
498,0
499,0
500,0
501,1
502,1
503,1
504,1
505,0
506,0
507,1
508,1
509,0
510,1
511,0
512,1
513,1
514,0
515,1
516,0
517,0
518,0
519,1
520,0
521,1
522,0
523,1
524,0
525,0
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,0
538,1
539,0
540,0
541,1
542,1
543,1
544,0
545,1
546,1
547,1
548,0
549,1
550,1
551,0
552,0
553,1
554,0
555,0
556,0
557,1
558,1
559,0
560,1
561,1
562,1
563,1
564,0
565,0
566,1
567,0
568,0
569,0
570,0
571,1
572,1
573,0
574,1
575,1
576,0
577,1
578,1
579,0
580,0
581,1
582,1
583,1
584,1
585,0
586,0
587,1
588,1
589,0
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,0
598,1
599,1
600,0
601,1
602,1
603,0
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,1
614,1
615,0
616,1
617,1
618,0
619,1
620,1
621,0
622,1
623,1
624,0
625,1
626,1
627,1
628,1
629,0
630,1
631,1
632,1
633,1
634,1
635,0
636,1
637,0
638,0
639,0
640,1
641,0
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,0
650,1
651,1
652,1
653,1
654,0
655,1
656,1
657,1
658,1
659,0
660,1
661,1
662,1
663,0
664,1
665,1
666,1
667,0
668,0
669,0
670,0
671,0
672,0
673,1
674,0
675,0
676,1
677,1
678,1
679,0
680,0
681,1
682,1
683,0
684,0
685,1
686,1
687,0
688,0
689,1
690,0
691,1
692,1
693,0
694,0
695,1
696,0
697,1
698,1
699,0
700,1
701,1
702,1
703,1
704,1
705,1
706,0
707,0
708,1
709,1
710,0
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,0
729,0
730,1
731,0
732,1
733,1
734,1
735,1
736,1
737,1
738,0
739,1
740,0
741,0
742,1
743,0
744,0
745,1
746,0
747,0
748,0
749,1
750,1
751,0
752,1
753,1
754,1
755,1
756,1
757,0
758,1
759,0
760,1
761,0
762,0
763,1
764,1
765,1
766,0
767,1
768,0
769,1
770,0
771,0
772,0
773,1
774,1
775,1
776,1
777,0
778,1
779,0
780,1
781,0
782,1
783,0
784,1
785,1
786,1
787,0
788,1
789,1
790,1
791,1
792,1
793,0
794,0
795,1
796,1
797,1
798,1
799,1
800,0
801,1
802,0
803,1
804,1
805,1
806,0
807,1
808,1
809,1
810,0
811,1
812,1
813,1
814,1
815,0
816,1
817,0
818,1
819,1
820,0
821,0
822,1
823,1
824,0
825,1
826,1
827,0
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,0
836,1
837,0
838,1
839,1
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,1
848,1
849,1
850,1
851,1
852,0
853,0
854,1
855,1
856,0
857,1
858,0
859,1
860,1
861,1
862,0
863,1
864,1
865,1
866,0
867,1
868,0
869,0
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,0
878,1
879,1
880,0
881,1
882,1
883,1
884,0
885,1
886,1
887,1
888,1
889,0
890,1
891,1
892,0
893,1
894,0
895,0
896,0
897,1
898,1
899,0
900,0
901,0
902,1
903,1
904,1
905,1
906,0
907,0
908,0
909,1
910,1
911,0
912,1
913,1
914,1
915,0
916,0
917,1
918,1
919,1
920,1
921,0
922,1
923,0
924,1
925,0
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,0
935,1
936,1
937,1
938,1
939,0
940,1
941,1
942,0
943,1
944,1
945,1
946,0
947,0
948,0
949,1
950,1
951,0
952,1
953,1
954,1
955,0
956,1
957,0
958,1
959,1
960,1
961,0
962,0
963,1
964,1
965,1
966,1
967,1
968,0
969,1
970,0
971,0
972,1
973,1
974,0
975,1
976,1
977,1
978,1
979,1
980,1
981,0
982,0
983,1
984,0
985,0
986,1
987,1
988,0
989,1
990,0
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,0
999,1
1000,1
1001,0
1002,1
1003,0
1004,1
1005,1
1006,0
1007,0
1008,1
1009,1
1010,1
1011,0
1012,0
1013,1
1014,0
1015,1
1016,0
1017,0
1018,1
1019,1
1020,1
1021,1
1022,1
1023,0
1024,0
1025,1
1026,1
1027,1
1028,0
1029,1
1030,1
1031,1
1032,0
1033,0
1034,1
1035,1
1036,1
1037,0
1038,0
1039,1
1040,0
1041,1
1042,0
1043,1
1044,0
1045,0
1046,1
1047,1
1048,1
1049,1
1050,0
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,1
1058,0
1059,0
1060,1
1061,1
1062,0
1063,0
1064,1
1065,0
1066,1
1067,1
1068,1
1069,1
1070,0
1071,1
1072,0
1073,1
1074,1
1075,0
1076,1
1077,0
1078,1
1079,0
1080,1
1081,1
1082,1
1083,0
1084,1
1085,1
1086,1
1087,1
1088,1
1089,0
1090,1
1091,1
1092,1
1093,0
1094,1
1095,0
1096,1
1097,1
1098,1
1099,1
1100,1
1101,0
1102,0
1103,1
1104,0
1105,1
1106,0
1107,1
1108,1
1109,0
1110,1
1111,0
1112,1
1113,0
1114,1
1115,0
1116,1
1117,1
1118,0
1119,1
1120,1
1121,0
1122,1
1123,1
1124,1
1125,1
1126,0
1127,1
1128,0
1129,1
1130,1
1131,1
1132,1
1133,1
1134,0
1135,1
1136,1
1137,1
1138,0
1139,1
1140,1
1141,1
1142,1
1143,0
1144,1
1145,0
1146,1
1147,0
1148,1
1149,0
1150,1
1151,1
1152,1
1153,1
1154,1
1155,0
1156,0
1157,1
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,0
1166,0
1167,1
1168,1
1169,1
1170,1
1171,0
1172,1
1173,0
1174,1
1175,1
1176,1
1177,0
1178,1
1179,1
1180,0
1181,1
1182,1
1183,0
1184,1
1185,0
1186,0
1187,1
1188,1
1189,0
1190,0
1191,1
1192,0
1193,0
1194,1
1195,0
1196,0
1197,1
1198,0
1199,1
1200,1
1201,1
1202,0
1203,1
1204,1
1205,0
1206,0
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,1
1215,0
1216,1
1217,0
1218,1
1219,1
1220,0
1221,1
1222,1
1223,0
1224,1
1225,0
1226,1
1227,1
1228,1
1229,0
